Unnamed: 0.1;Unnamed: 0;Educational Year;Country;Region;Location Name;Location Address;Teachers;Completed Date;SKU;Product Name;Product Variation;Category;Email;Phone;Parent Full Name;Parent Last Name;Parent Occupation;Where do you work?(parent);How did you find us?;StudentID;Student Name;Student Age;Student Birthday;Student First Name;Student Gender;Student Preferred Language;Student Current School;Student Experience;Student Diet;Remarks;Address 1&2;Postcode;City;Country Name;Order ID;Payment Method Title;Order Status;Cart Discount Amount;Order Total Amount;Customer Note;Order Number;Order Subtotal Amount;Order Status.1;Order Date;Item Name;Item Quantity;Coupon Code;Number of coupons used;Payment Method Title.1;Payment Method;Item Cost Before Discount;Item Cost;Item Discount Amount;Educational Years;Period;PostCodes
0;0;2022-2023;ES;New Jersey;Contreras, Werner and West | CoderMinds;19892 Harris Mills, Cruzview, DE 60034;Jason Stephens;YYYY-39-DD 18:39:SS;ESNe01-20240312-CC;Workshop;City: North Michaelmouth | Address: 8525 Nicole Mountain, West Brandon, HI 90515;;pcopeland@yahoo.com;519.832.236;Timothy Price;Snyder;Chief Marketing Officer;Smith-Mathews;Online;STDID-1;Joel West;10;2014-03-05;Joel;male;French;Elementary School;Heart laugh officer early soldier the because traditional.;Vegetarian;Teach bring himself smile.;18654 Levine Street Apt. 443, Velasquezborough, GA 77320;53506;North Christopher;Saudi Arabia;985d7321-344a-4de3-99e4-d412e76b0c61;Bank Transfer;Completed;31,61;178;Establish authority what night.;53146;146,39;Completed;YYYY-39-DD 18:39:SS;Workshop;1;cdm23433;0;Credit Card;mollie_wc_gateway_credit_card;1,777,665,156;1,554,252,038;2,234,131,177;;1.0;1011 AA
1;1;2021-2022;DE;Oregon;White Inc | CoderMinds;40846 Hickman Vista, Parrishberg, HI 10101;James Thompson DVM;YYYY-25-DD 04:25:SS;DEOr01-20240221-CC;Spring Break Coder-Camp 2024;City: Port Howardborough | Address: 66375 Andrew Circle, Johnside, MD 07100;;nhardin@nelson-peck.com;1-283-793-3473x499;Joshua Guerra;Foster;Aid worker;Goodwin, Nichols and Chan;Online;STDID-2;Adam Johnson;15;2009-02-18;Adam;male;Dutch;Elementary School;Create find reduce language develop seem various.;;Hit wife mean happen husband executive win.;43458 Spencer Road Suite 764, Mckenzieside, OR 75346;98394;North Jeremiah;Faroe Islands;2164f649-d9f8-4521-ba82-f1d5eaa487ac;iDEAL;Cancelled;49,07;302,67;Actually have deep medical data security hundred economic.;40846;253,6;Cancelled;YYYY-25-DD 04:25:SS;Spring Break Coder-Camp 2024;2;cdm37305;1;iDEAL;mollie_wc_gateway_ideal;1,321,241,534;1,101,206,939;2,200,345,949;18;2.0;1012 AB
2;2;2021-2022;NL;Kentucky;Snyder and Sons | CoderMinds;8487 Barber Motorway, Lake Melanie, PA 04265;Bethany Cantu;YYYY-54-DD 12:54:SS;NLKe01-20231113-CC;Workshop;City: New Courtneyland | Address: 14770 Cox Stream Apt. 316, Port Jessicafurt, DC 03225;;ybenjamin@bell.com;(579)178-2384x441;Robert Fowler;Richards;Conference centre manager;Walker Ltd;Advertisement;STDID-3;Katie Miller;16;2007-09-12;Katie;female;Dutch;Elementary School;Effect south character laugh.;Vegetarian;Everything imagine teacher law shake cut.;545 Jared Causeway Suite 605, Scottland, HI 02935;99274;Justinchester;Somalia;1534ecff-fddd-43c9-9053-c7831bf3e92d;PayPal;Processing;11,48;377,34;Media not ahead data fill stop.;35836;365,86;Processing;YYYY-54-DD 12:54:SS;Workshop;3;cdm51260;0;iDEAL;mollie_wc_gateway_ideal;4,252,655,997;3,846,323,553;4,063,324,444;;3.0;1013 AC
3;3;2023-2024;US;Hawaii;Lopez-Parker | CoderMinds;293 Davis Turnpike, Shawside, OR 18657;Andrew Brown;YYYY-23-DD 20:23:SS;USHa01-20230808-CC;Spring Break Coder-Camp 2024;City: Lukeland | Address: 4138 Sarah Brook, Alexandertown, SC 70716;;justin00@alexander.com;786810344;Kara Johnson;Adams;Nurse, learning disability;Mendoza-Estrada;Word of mouth;STDID-4;Eileen Anderson;13;2010-04-28;Eileen;female;German;High School;Power force become north she why.;Vegan;Protect nearly little act street politics admit.;60392 Jackson Stream Suite 767, Lowechester, SC 25406;38704;West Claire;Chad;b794961b-e793-4168-b077-6aba839e4ee1;Credit Card;Processing;30,49;202,11;Media approach wall career computer.;23732;171,62;Processing;YYYY-23-DD 20:23:SS;Spring Break Coder-Camp 2024;2;cdm30533;0;Credit Card;mollie_wc_gateway_credit_card;2,449,116,049;21,903,766;2,587,394,489;18;4.0;1014 AD
4;4;2023-2024;DE;Tennessee;Morrison, Sharp and Rodgers | CoderMinds;831 Reed Lodge Apt. 753, Michaelport, SD 46209;Mary Davies;YYYY-21-DD 00:21:SS;DETe01-20230927-CC;Spring Break Coder-Camp 2024;City: East Rachelberg | Address: 350 Weiss Coves Suite 721, New Bradleytown, KY 22876;;jgreen@yahoo.com;960-622-5755x92434;Meghan Waters;Reilly;Therapist, drama;Kim PLC;Word of mouth;STDID-5;Mary Daniel;10;2013-12-23;Mary;mostly_female;Spanish;High School;What table point.;Vegetarian;Scene thus change explain his last.;33324 Amanda Fields, Johnborough, GA 79161;55133;Port Kevinmouth;Congo;4d705157-a5ff-42f5-87d9-57b4ea6987b4;PayPal;Completed;24,91;184,55;Long fill inside money high.;98776;159,64;Completed;YYYY-21-DD 00:21:SS;Spring Break Coder-Camp 2024;5;cdm90279;1;PayPal;mollie_wc_gateway_paypal;4,071,402,385;3,873,321,985;1,980,803,995;2010;1.0;1015 AE
5;5;2022-2023;US;Nebraska;Jimenez, Sparks and Garcia | CoderMinds;6805 Becker Mount, Smithfort, RI 25242;Benjamin Armstrong;YYYY-57-DD 10:57:SS;USNe01-20230331-CC;Bright Minds;City: Lake Shannonton | Address: 786 Harding Plaza, New Kelseystad, AK 35041;;john90@gmail.com;718-874-8917x47057;Albert Lozano;Patterson;Therapist, nutritional;Williams and Sons;Word of mouth;STDID-6;Juan Stokes;9;2014-10-20;Juan;male;Dutch;High School;Health idea choice lose.;Vegan;Accept join set product.;141 Allen Drive, New Patrickmouth, KS 06996;88875;Hansenstad;Ecuador;51a36655-218c-43a2-ae3a-e19934915921;Credit Card;Completed;40,74;140,02;For hot yard pattern news land hotel.;54299;99,28;Completed;YYYY-57-DD 10:57:SS;Bright Minds;5;cdm65811;0;iDEAL;mollie_wc_gateway_ideal;4,571,920,165;4,406,300,108;165,620,057;2011-2012;2.0;1016 AF
6;6;2023-2024;US;Colorado;Hooper-Horton | CoderMinds;Unit 0926 Box 1986, DPO AP 44028;Mariah Anderson;YYYY-36-DD 13:36:SS;USCo01-20230930-CC;Spring Break Coder-Camp 2024;City: Port David | Address: 553 Catherine Oval Suite 795, Nealberg, CA 18645;;warestephanie@yahoo.com;001-417-988-0646x8094;Corey Harris;Mccullough;Broadcast engineer;Watson, Tran and King;Online;STDID-7;Natalie Roberts;10;2013-12-21;Natalie;female;English;Middle School;Degree summer system economy.;Gluten-free;Relate discuss certainly none hard.;81543 Stevenson Parkway, South Sheila, SD 07020;75351;Washingtonshire;Mexico;8999f207-2d3f-4b98-9fe2-a44978d19b7e;Bank Transfer;Completed;33,86;376,54;Order serious including our short.;47412;342,68;Completed;YYYY-36-DD 13:36:SS;Spring Break Coder-Camp 2024;4;cdm94198;1;Credit Card;mollie_wc_gateway_credit_card;138,042,646;1,232,209,739;1,482,167,207;17;3.0;1017 AG
7;7;2021-2022;NL;South Dakota;Diaz-Joseph | CoderMinds;813 Lisa Vista, Lake Miranda, MS 79336;Emily Joseph;YYYY-10-DD 12:10:SS;NLSo01-20240102-CC;Regular Course;City: Thomasville | Address: 0773 Nathaniel Point Apt. 582, Martinhaven, NJ 42014;;leepierce@espinoza.com;001-517-504-5909;Sarah Scott;Allen;Advertising art director;Riley-Bailey;Advertisement;STDID-8;Rachel Thomas;7;2016-05-24;Rachel;female;Dutch;Middle School;Look edge policy.;Gluten-free;Data lawyer group garden play help.;75612 Dickerson Estate Apt. 055, Robertberg, NE 72227;90686;West Davidton;Denmark;38296c5e-3aaf-41de-b988-93b0234a52c7;Bank Transfer;Processing;40,47;405,86;List bit unit nor operation.;12057;365,39;Processing;YYYY-10-DD 12:10:SS;Regular Course;1;cdm31887;1;Credit Card;mollie_wc_gateway_credit_card;129,485,727;1,134,710,682;1,601,465,872;;4.0;1018 AH
8;8;2023-2024;NL;Oregon;Love and Sons | CoderMinds;4057 Rogers Garden, Lake Albertview, MN 08381;Adrian Campbell;YYYY-36-DD 23:36:SS;NLOr01-20240107-CC;Regular Course;City: Port Chelseaport | Address: 661 Cox Freeway, Bradleyhaven, RI 00915;;justingomez@gmail.com;N1=+1-45-57-2291;Nicole Sanchez;Roberts;Cytogeneticist;Rice, Reeves and Simpson;Advertisement;STDID-9;Krystal Diaz;5;2018-05-11;Krystal;female;French;Middle School;Natural relationship support understand catch sister.;Vegetarian;Term medical believe write perhaps question although company.;66434 Garza Islands Apt. 118, South Adam, NH 97002;73491;Wallacemouth;Macao;1f5caefa-cbe4-41e8-9675-7ac814cea970;Bank Transfer;Cancelled;37,81;397,21;Administration girl artist political performance.;36151;359,4;Cancelled;YYYY-36-DD 23:36:SS;Regular Course;2;cdm60604;2;iDEAL;mollie_wc_gateway_ideal;1,922,069,879;1,662,306,066;2,597,638,124;2022;1.0;1019 AI
9;9;2023-2024;DE;Oklahoma;Contreras, Kelley and Wood | CoderMinds;8769 Taylor Trafficway Suite 186, Feliciatown, AZ 77679;Daniel Williams;YYYY-38-DD 19:38:SS;DEOk01-20230502-CC;Spring Break Coder-Camp 2024;City: North Heatherport | Address: 0552 Calhoun Loop, North Daniel, DE 97669;;adambass@wheeler.net;001-537-337-2816x91002;Mario Morrison;Wilkins;Best boy;Bailey, Curtis and Smith;Advertisement;STDID-10;Jose Mitchell;15;2009-02-12;Jose;male;English;High School;State read animal sit benefit capital around.;;Present culture surface difficult area artist.;Unit 6702 Box 2574, DPO AE 24179;81552;Timothyburgh;Lesotho;8aeb71b5-2ece-4619-80b8-d76d57d42334;PayPal;Completed;18,95;288,12;Policy chance responsibility fine.;91304;269,17;Completed;YYYY-38-DD 19:38:SS;Spring Break Coder-Camp 2024;3;cdm51048;1;iDEAL;mollie_wc_gateway_ideal;10,972,365;9,151,997,284;1,820,367,719;2018;2.0;1020 AJ
